"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1148","53061052709",129,45,61,23,58,43,28,2,0,0,23,0,1,13,4,0,0,0,0,0,10,0,20,0,5,28,23,119,2,0,3,0,5,123,6,4,32,27,21,74,55,0,0,0,0,0,0,0,0,0,0
"1149","53061052803",4200,1069,2317,814,686,1531,1983,22,0,0,440,1374,413,771,37,108,75,72,76,0,82,72,281,61,241,75,0,3752,108,39,202,17,82,3737,463,379,935,1066,751,2605,1595,0,0,0,0,0,0,0,0,0,0
"1150","53061052804",1138,400,538,200,369,499,270,140,0,0,138,164,11,317,9,2,8,30,25,0,6,23,79,0,154,32,0,989,34,24,57,4,30,981,157,111,218,250,159,563,575,0,0,0,0,0,0,0,0,0,0
"1151","53061052805",1495,573,660,262,482,694,319,0,0,0,68,0,5,602,0,23,35,62,6,0,6,0,242,3,357,86,0,1275,59,17,99,4,41,1318,177,131,293,315,183,667,828,0,0,0,0,0,0,0,0,0,0
"1152","53061052806",160,32,88,40,60,60,40,0,0,0,77,1,8,8,0,0,0,0,5,0,7,0,53,0,0,1,0,132,5,2,15,3,3,130,30,19,38,36,35,84,76,0,0,0,0,0,0,0,0,0,0
"1153","53061052903",2569,729,1350,490,786,945,838,0,0,0,263,137,19,372,46,57,73,50,105,0,44,8,465,31,518,133,248,2271,69,23,134,12,60,2420,149,169,498,681,492,1192,1377,0,0,0,0,0,0,0,0,0,0
"1154","53061052904",307,90,151,66,138,117,52,0,0,0,66,0,0,37,1,2,0,36,0,0,6,8,144,0,0,7,0,258,10,6,21,0,12,275,32,19,71,68,59,120,187,0,0,0,0,0,0,0,0,0,0
"1155","53061052905",3680,610,1964,1106,789,1333,1558,0,0,0,69,85,4,398,2,20,62,36,91,0,147,1974,485,10,82,79,136,3349,40,58,156,9,68,3499,181,208,700,1077,1085,1291,2389,0,0,0,0,0,0,0,0,0,0
"1156","53061052906",106,29,51,26,50,41,15,0,0,0,17,5,3,11,0,0,9,7,3,0,4,0,40,0,6,1,0,82,4,3,13,0,4,99,7,6,23,30,18,45,61,0,0,0,0,0,0,0,0,0,0
"1157","53061053101",136,33,80,23,39,55,42,9,0,0,43,19,4,10,0,0,1,0,6,0,8,2,21,0,0,13,0,121,5,2,6,0,2,118,18,9,32,34,28,78,58,0,0,0,0,0,0,0,0,0,0
"1158","53061053102",948,439,388,121,352,371,225,2,0,0,136,0,3,356,0,0,2,0,30,0,22,0,31,0,264,102,0,811,38,11,57,2,29,859,89,72,148,179,110,465,483,0,0,0,0,0,0,0,0,0,0
"1159","53061053201",396,83,223,90,150,144,102,22,0,0,68,9,6,28,0,0,0,0,19,0,72,0,147,0,16,9,0,331,27,13,13,1,11,353,43,34,103,103,73,173,223,0,0,0,0,0,0,0,0,0,0
"1160","53061053202",179,34,92,53,60,82,37,0,0,4,77,0,4,2,5,0,0,12,5,0,16,0,10,20,19,5,0,165,2,3,6,0,3,161,18,21,46,50,28,122,57,0,0,0,0,0,0,0,0,0,0
